Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bina Kat Sayısı,Kullanım Durumu,Krediye Uygunluk,Kira Getirisi,Eşya Durumu,Fiyat Bilgisi,İlan Link
180 M2,4+1,16-20,4,Kiracı Oturuyor,Krediye Uygun,,Boş,"4,350,000",https://www.emlakjet.com/ilan/cankaya-birlik-kosk-yakini-41-asansorlu-garajli-satilik-daire-13460660/
125 M2,3+1,21 Ve Üzeri,4,Boş,Krediye Uygun,10000 TL,Boş,"2,550,000",https://www.emlakjet.com/ilan/trebolu-sokak-da-31-satilik-daire-13020271/
85 M2,2+1,21 Ve Üzeri,3,Kiracı Oturuyor,Krediye Uygun,,,"2,600,000",https://www.emlakjet.com/ilan/atillaozdemir-den-yatirimciya-firsat-mustakil-parsel-tamkat-eksigi-kose-binada-21-giris-on-3cepheli-13063537/
750 M2,6+1,5-10,3,Mülk Sahibi Oturuyor,Krediye Uygun,75000 TL,Eşyalı,"26,250,000",https://www.emlakjet.com/ilan/alacaatli-7-24-guvenlikli-sitede-yuzme-havuzlu-muhtesem-villa-12701003/
530 M2,9+ Oda,21 Ve Üzeri,2,Kiracı Oturuyor,Krediye Uygun,,,"35,000,000",https://www.emlakjet.com/ilan/atilla-ozdemir-den-konut-yurt-ve-otel-yapilmaya-musait-toplam-5-katli-10-daireli-524m2-bina-13086822/
90 M2,2+1,5-10,7,Kiracı Oturuyor,Krediye Uygun,,,"3,750,000",https://www.emlakjet.com/ilan/bahcelievler-de-satilik-21-ara-kat-daire-k-garaj-asansor-13159512/
150 M2,3+1,16-20,3,Kiracı Oturuyor,Krediye Uygun,15000 TL,,"2,950,000",https://www.emlakjet.com/ilan/podgorista-cd-yakini-31-150-m2-kombili-guney-dogu-cephe-full-yapili-3-kat-13218305/
120 M2,3+1,21 Ve Üzeri,4,Boş,Krediye Uygun,,,"2,750,000",https://www.emlakjet.com/ilan/ayranci-kuzgun-sokak-ta-31-satilik-daire-13257961/
110 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,Krediye Uygun Değil,,,"2,750,000",https://www.emlakjet.com/ilan/atilla-ozdemir-den-7-cad-ve-milli-kutuphaneye-yakin-bakimli-lux-masrafsiz-110m2-31-giriskat-12864493/
85 M2,2+1,21 Ve Üzeri,3,Boş,Krediye Uygun,15000 TL,Boş,"2,980,000",https://www.emlakjet.com/ilan/atilla-ozdemir-den-7-cad-yakin-super-lux-ici-sifir-yapili-genis-21-giris-on-perdeni-tak-otur-13320456/
750 M2,7+2,5-10,3,Boş,Krediye Uygun,,Boş,"21,950,000",https://www.emlakjet.com/ilan/alacaatli-da-guvenlikli-site-de-uygun-fiyatli-sifir-600m2-villa-13326107/
150 M2,3+1,16-20,3,Kiracı Oturuyor,Krediye Uygun,,,"2,950,000",https://www.emlakjet.com/ilan/birlik-yasam-hast-yakini-onu-acik-31-150-m2-brut-kombili-1-kot-asansorlu-k-garajli-13307424/
125 M2,3+1,21 Ve Üzeri,3,Boş,Krediye Uygun,10000 TL,,"2,100,000",https://www.emlakjet.com/ilan/ayranci-hosdere-de-31-110m2-bahcekati-bakimli-daire-13376683/
100 M2,2+1,16-20,3,Kiracı Oturuyor,Krediye Uygun,,,"3,700,000",https://www.emlakjet.com/ilan/atilla-ozdemir-den-20-yillik-21-yuksek-giris-arakat-on-kapali-ve-acik-garajli-asansorlu-balkonlu-13384481/
400 M2,5+2,11-15,3,Kiracı Oturuyor,Krediye Uygun,20000 TL,,"3,950,000",https://www.emlakjet.com/ilan/acil-ihtiyactan-52-330m2-kombili-manzarali-dubleks-daire-13345781/
180 M2,4+1,0 (Yeni),15,Boş,Krediye Uygun,,Boş,"4,975,000",https://www.emlakjet.com/ilan/acil-yasamkentte-genis-teras-balkonlu-41-sifir-ultra-luks-daire-12336306/
100 M2,3+1,21 Ve Üzeri,4,Boş,Krediye Uygun,8000 TL,,"1,550,000",https://www.emlakjet.com/ilan/burak-emlak-tan-satilik-daire-31-yuksek-giris-dedeefendi-caddesinde-13460762/
80 M2,2+1,16-20,5,Boş,Krediye Uygun,,,"4,250,000",https://www.emlakjet.com/ilan/hemen-otur-satilik-21-full-esyali-ofis-kacmaz-13413713/
130 M2,3+1,21 Ve Üzeri,3,Boş,Krediye Uygun,15000 TL,Boş,"2,750,000",https://www.emlakjet.com/ilan/levent-ten-sokullu-caddesi-uzerinde-31-kiler-130m2-bagimsiz-salon-katta-full-yapili-13425607/
110 M2,3+1,21 Ve Üzeri,3,Boş,Krediye Uygun,15000 TL,Boş,"2,600,000",https://www.emlakjet.com/ilan/levent-ten-sokullu-caddesinde-cetinemec-bulvari-yakini-312-banyo-110m2-on-cephe-katta-full-yapili-13425736/
145 M2,3+1,11-15,4,Kiracı Oturuyor,Krediye Uygun,0 TL,,"3,450,000",https://www.emlakjet.com/ilan/turyaptan-gokkusagi-mahallesinde-satilik-harika-ev-13413951/
180 M2,4+1,5-10,13,Boş,Krediye Uygun,,,"4,975,000",https://www.emlakjet.com/ilan/acil-acil-yasamkentte-kok-tapu-ve-tamamina-kredi-kullanma-imkani-12517134/
65 M2,2+1,0 (Yeni),4,Boş,Krediye Uygun,,Boş,"4,350,000",https://www.emlakjet.com/ilan/cankaya-bahcelievler-2-cadde-yeni-bina-21-asansor-garajli-daire-13450428/
230 M2,4.5+1,16-20,4,Kiracı Oturuyor,Krediye Uygun,,Boş,"4,350,000",https://www.emlakjet.com/ilan/cankaya-birlik-yasam-hastanesi-yakini-220-m2-41-asansorlu-daire-13450431/
135 M2,3+1,21 Ve Üzeri,3,Boş,Krediye Uygun,15000 TL,Boş,"3,150,000",https://www.emlakjet.com/ilan/levent-ten-cetinemec-bulvari-hakimevi-yakini-312-banyo-katta-manzarali-full-yapili-13425492/
160 M2,3+1,21 Ve Üzeri,3,Boş,Krediye Uygun,,,"4,750,000",https://www.emlakjet.com/ilan/kendinizi-ve-ailenizi-seviyor-musunuz-iste-size-super-firsat-imkani-12330683/
140 M2,3+1,5-10,6,Kiracı Oturuyor,Krediye Uygun,0 TL,,"3,750,000",https://www.emlakjet.com/ilan/turyaptan-akpinar-mah-tam-yapili-ormana-nazir-satilik-ev-13445777/
135 M2,3+1,16-20,7,Boş,Krediye Uygun,15000 TL,Boş,"3,650,000",https://www.emlakjet.com/ilan/levent-ten-lizbon-caddesi-yakini-sitede-312-banyo-135m2-arakat-cift-asansorlu-full-yapili-13424953/
61 M2,1+1,0 (Yeni),24,Boş,Krediye Uygun,9000 TL,,"2,740,000",https://www.emlakjet.com/ilan/yasamkent-yasamkule-firsat-11-daire-13460362/
125 M2,3+1,16-20,5,Boş,Krediye Uygun,14000 TL,Boş,"1,725,000",https://www.emlakjet.com/ilan/levent-ten-ilker-1-cadde-yakini-31-125m2-balkonlu-terasli-yuksek-giris-13452663/
145 M2,3+1,16-20,4,Mülk Sahibi Oturuyor,Krediye Uygun,15000 TL,Boş,"3,490,000",https://www.emlakjet.com/ilan/levent-ten-hilal-de-adalet-parki-karsisi-aleksander-dubcek-caddesinde-31-ara-katta-asansorlu-13451626/
125 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,Krediye Uygun,10000 TL,,"2,250,000",https://www.emlakjet.com/ilan/goraldan-31-kabil-cadde-uzeri-ara-kat-kombili-acik-otoparkli-merkezi-konumda-13453479/
110 M2,2+1,21 Ve Üzeri,3,Boş,Krediye Uygun,,,"1,975,000",https://www.emlakjet.com/ilan/cologlundan-cetin-emec-yakini-kabil-ve-lizbon-caddesi-yani-21-super-lux-kombili-balkonlu-13453619/
