Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bina Kat Sayısı,Kullanım Durumu,Krediye Uygunluk,Kira Getirisi,Eşya Durumu,Fiyat Bilgisi,İlan Link
110 M2,2+1,16-20,5,Boş,,15000 TL,Eşyalı,"1,700,000",https://www.emlakjet.com/ilan/olgunlar-caddesi-uzerinde-yatirimlik-firsat-daire-13429480/
180 M2,5+1,21 Ve Üzeri,3,Boş,,,,"5,150,000",https://www.emlakjet.com/ilan/cankayada-site-icinde-satilik-villa-13429433/
100 M2,3+1,21 Ve Üzeri,2,Kiracı Oturuyor,,10000 TL,,"2,350,000",https://www.emlakjet.com/ilan/kolejde-satilik-daire-13429445/
135 M2,3+1,21 Ve Üzeri,3,Kiracı Oturuyor,,,,"2,500,000",https://www.emlakjet.com/ilan/goral-emlaktan-kabil-cadde-paralelinde-genis-metrajli-3-1-kombili-bagimsiz-daire-13429590/
185 M2,4+1,11-15,3,Kiracı Oturuyor,,15000 TL,Eşyalı,"4,549,000",https://www.emlakjet.com/ilan/egemen-den-dikmen-caddesin-de-asansorlu-41-masrafsiz-manzarali-13429705/
195 M2,4+1,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,,15000 TL,Boş,"3,370,000",https://www.emlakjet.com/ilan/akarsu-dan-super-luks-yapili-41-kombili-ilker-cd-ve-sinan-cd-paralelinde-uc-cepheli-merkezi-konumda-13432799/
145 M2,3+1,16-20,4,Mülk Sahibi Oturuyor,,15000 TL,Boş,"3,490,000",https://www.emlakjet.com/ilan/levent-ten-hilal-de-adalet-parki-karsisi-aleksander-dubcek-caddesinde-31-ara-katta-asansorlu-13451626/
100 M2,3+1,21 Ve Üzeri,4,Boş,,8000 TL,,"1,550,000",https://www.emlakjet.com/ilan/burak-emlak-tan-satilik-daire-31-yuksek-giris-dedeefendi-caddesinde-13460762/
47 M2,1+1,3,30,Kiracı Oturuyor,,,Boş,"2,350,000",https://www.emlakjet.com/ilan/elmar-towers-42-kat-muhtesem-manzarali-satilik-daire-13429801/
160 M2,4+1,2,3,Boş,,,,"6,750,000",https://www.emlakjet.com/ilan/sbell-den-emek-te-yeni-binada-3-banyolu-sifir-41-luks-dubleks-13438502/
130 M2,2+1,21 Ve Üzeri,3,Boş,,,,"2,700,000",https://www.emlakjet.com/ilan/cadde-uzeri-masrafsiz-katta-manzarali-13439512/
75 M2,2+1,0 (Yeni),4,Boş,,,Boş,"3,500,000",https://www.emlakjet.com/ilan/arel-den-maltepe-de-kat-ta-kombili-amerikan-mutfakli-2-13430090/
160 M2,3+1,21 Ve Üzeri,3,Boş,,,,"4,750,000",https://www.emlakjet.com/ilan/kendinizi-ve-ailenizi-seviyor-musunuz-iste-size-super-firsat-imkani-12330683/
160 M2,4+1,0 (Yeni),5,Kiracı Oturuyor,,,Boş,"4,750,000",https://www.emlakjet.com/ilan/serkandan-cankaya-libya-cadde-uzeri-satilik-41-kup10-daire-13441517/
70 M2,1+1,5-10,5,Kiracı Oturuyor,,,Eşyalı,"2,550,000",https://www.emlakjet.com/ilan/11-furnished-flat-for-sale-in-cankaya-hilal-neighborhood-13439747/
120 M2,3+1,3,19,Kiracı Oturuyor,,,Boş,"3,895,000",https://www.emlakjet.com/ilan/muhye-vadi-konutlarinda-sehir-ve-vadi-manzarali-muhtesem-daire-13439680/
235 M2,4+1,5-10,4,Mülk Sahibi Oturuyor,,,Boş,"3,500,000",https://www.emlakjet.com/ilan/serkan-emlaktan-cankaya-asikpasa-da-41-dubleks-daire-13441518/
185 M2,3+1,21 Ve Üzeri,15,Kiracı Oturuyor,,,,"5,950,000",https://www.emlakjet.com/ilan/bilkent-t3-blok-da-yesillikler-icinde-y-giris-manzarali-31-cift-banyolu-13429516/
325 M2,6+1,0 (Yeni),21,Boş,,,Boş,"19,000,000",https://www.emlakjet.com/ilan/beytepe-de-merkezi-lokasyon-da-61-daire-13441837/
116 M2,2+1,0 (Yeni),12,Boş,,,,"3,990,000",https://www.emlakjet.com/ilan/koru-ideal-sitesi-b-blok-satilik-luks-21-daire-enbati-as-13445566/
60 M2,1+1,5-10,4,Kiracı Oturuyor,,,Boş,"1,975,000",https://www.emlakjet.com/ilan/emekte-satilik-yeni-binada-gazi-yakini-11-kombili-aderde-13456599/
130 M2,3+1,21 Ve Üzeri,3,Boş,,16000 TL,,"2,925,000",https://www.emlakjet.com/ilan/cologlundan-cetin-emec-yakini-manzarali-orta-katta-lux-31-kombili-onu-acik-mantolamali-13445773/
205 M2,4+1,5-10,10,Kiracı Oturuyor,,,Boş,"6,500,000",https://www.emlakjet.com/ilan/kiraner-park-da-205-m2-satilik-daire-13445584/
165 M2,4+1,21 Ve Üzeri,3,Boş,,13500 TL,Boş,"3,230,000",https://www.emlakjet.com/ilan/taner-den-dikmen-hakim-evi-yakini-41-katta-bagimsiz-ici-yapili-firsat-dairesi-13456688/
130 M2,3+1,21 Ve Üzeri,7,Boş,,15000 TL,Boş,"3,450,000",https://www.emlakjet.com/ilan/taner-den-ovecler-kabil-caddesi-yani-site-icerisinde-asansorlu-super-luks-13456703/
125 M2,3+1,16-20,3,Boş,,15000 TL,Boş,"3,150,000",https://www.emlakjet.com/ilan/taner-den-ilker-1-inci-cadde-yakini-31-salon-bagimsiz-ara-katta-genc-bina-13456711/
95 M2,1+1,11-15,16,Mülk Sahibi Oturuyor,,,Eşyalı,"4,500,000",https://www.emlakjet.com/ilan/yasamkent-besa-karina-satilik-11-13445800/
130 M2,3+1,21 Ve Üzeri,3,Boş,,15000 TL,Boş,"3,450,000",https://www.emlakjet.com/ilan/taner-den-dikmen-caddesi-uzerinde-31-orta-kat-super-luks-manzarali-cift-banyo-13456716/
145 M2,3+1,11-15,4,Kiracı Oturuyor,,13000 TL,Boş,"3,000,000",https://www.emlakjet.com/ilan/taner-den-ovecler-de-asansorlu-31-arakat-genc-binada-guney-bati-k-otoparkli-13456723/
145 M2,3+1,5-10,2,Boş,,,,"3,200,000",https://www.emlakjet.com/ilan/cankaya-mursel-uluc-mahallesi-katta-bagimsiz-31-kilerli-daire-13457021/
85 M2,2+1,3,14,Boş,,,Boş,"3,450,000",https://www.emlakjet.com/ilan/yasamkent-guvenlikli-k-otoparkli-satilik-2-51-dubleks-daire-13441834/
